# wavelength_(μm) flux_(mJy) flux_unc_(mJy)
3.2203151 0.001928728 0.000264331
3.2209925 0.002033217 0.000281826
3.2216698 0.002033217 0.000269847
3.2223471 0.002192294 0.000060986
3.2230244 0.002192294 0.000139311
3.2237018 0.002015236 0.000183406
3.2243791 0.002012377 0.000170698
3.2250564 0.002007395 0.000128445
3.2257337 0.002007395 0.000320571
3.2264110 0.002012377 0.000524386
3.2270883 0.002150646 0.000305362
3.2277656 0.002150646 0.000379743
3.2284429 0.002284179 0.000318100
3.2291202 0.002150646 0.000242832
3.2297974 0.002284179 0.000329802
3.2304747 0.002284179 0.000317889
3.2311520 0.002533951 0.000290824
3.2318292 0.002533951 0.000240714
3.2325065 0.002627617 0.000294940
3.2331837 0.002627617 0.000230343
3.2338610 0.002454271 0.000116423
3.2345382 0.002454271 0.000193196
3.2352155 0.002454271 0.000072188
3.2358927 0.002376326 0.000166839
3.2365699 0.002454271 0.000216437
3.2372471 0.002418627 0.000269004
3.2379244 0.002418627 0.000192020
3.2386016 0.002436637 0.000209541
3.2392788 0.002472013 0.000192592
3.2399560 0.002617913 0.000097624
3.2406332 0.002617913 0.000105322
3.2413104 0.002617913 0.000217612
3.2419876 0.002668179 0.000149200
3.2426647 0.002668179 0.000120503
3.2433419 0.002668179 0.000167381
3.2440191 0.002748657 0.000023004
3.2446962 0.002764153 0.000022549
3.2453734 0.003252563 0.000169641
3.2460506 0.003756470 0.000133933
3.2467277 0.003756470 0.000211607
3.2474049 0.003756470 0.000191194
3.2480820 0.003241720 0.000194261
3.2487591 0.002675782 0.000156212
3.2494363 0.002675782 0.000012559
3.2501134 0.002675782 0.000054942
3.2507905 0.002675782 0.000015840
3.2514676 0.003258526 0.000011790
3.2521447 0.003258526 0.000020036
3.2528218 0.003314319 0.000113956
3.2534989 0.003314319 0.000312689
3.2541760 0.003314319 0.000294887
3.2548531 0.003314319 0.000290268
3.2555302 0.003314319 0.000223891
3.2562073 0.003315752 0.000238577
3.2568844 0.003315752 0.000272210
3.2575614 0.003328499 0.000186750
3.2582385 0.003399417 0.000263893
3.2589155 0.003433161 0.000235460
3.2595926 0.003496204 0.000278893
3.2602696 0.003559246 0.000248780
3.2609467 0.003559246 0.000297990
3.2616237 0.003559246 0.000242451
3.2623008 0.003622289 0.000251933
3.2629778 0.003685332 0.000259549
3.2636548 0.004005615 0.000198351
3.2643318 0.004151289 0.000342118
3.2650088 0.004151289 0.000242567
3.2656859 0.004151289 0.000280026
3.2663629 0.003775720 0.000063160
3.2670399 0.003775720 0.000206254
3.2677169 0.003775720 0.000165683
3.2683938 0.004093850 0.000118305
3.2690708 0.004105459 0.000132670
3.2697478 0.004175045 0.000236218
3.2704248 0.004175045 0.000094146
3.2711017 0.004398831 0.000250097
3.2717787 0.004398831 0.000293543
3.2724557 0.004398831 0.000288016
3.2731326 0.004385356 0.000147226
3.2738096 0.004275962 0.000222385
3.2744865 0.004275962 0.000196122
3.2751634 0.004385356 0.000252339
3.2758404 0.004430179 0.000310023
3.2765173 0.004430179 0.000280491
